Catalog,Control,Relation,Defensive Technique,Technique
NIST SP 800-53 R5,CM-5(5),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,CM-5(5),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,CM-5(6),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,CM-5(6),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,CM-6(3),broader,[Application Configuration Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationConfigurationHardening),Application Configuration Hardening
NIST SP 800-53 R5,CM-14,related,[Driver Load Integrity Checking](https://d3fend.mitre.org/technique/d3f:DriverLoadIntegrityChecking),Driver Load Integrity Checking
NIST SP 800-53 R5,CM-14,related,[Message Authentication](https://d3fend.mitre.org/technique/d3f:MessageAuthentication),Message Authentication
NIST SP 800-53 R5,IA-2(1),narrower,[Multi-factor Authentication](https://d3fend.mitre.org/technique/d3f:Multi-factorAuthentication),Multi-factor Authentication
NIST SP 800-53 R5,IA-2(2),narrower,[Multi-factor Authentication](https://d3fend.mitre.org/technique/d3f:Multi-factorAuthentication),Multi-factor Authentication
NIST SP 800-53 R5,IA-2(4),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,IA-2(6),narrower,[Multi-factor Authentication](https://d3fend.mitre.org/technique/d3f:Multi-factorAuthentication),Multi-factor Authentication
NIST SP 800-53 R5,IR-4(12),related,[Dynamic Analysis](https://d3fend.mitre.org/technique/d3f:DynamicAnalysis),Dynamic Analysis
NIST SP 800-53 R5,IR-4(13),related,[Decoy Environment](https://d3fend.mitre.org/technique/d3f:DecoyEnvironment),Decoy Environment
NIST SP 800-53 R5,IR-4(13),related,[Decoy Object](https://d3fend.mitre.org/technique/d3f:DecoyObject),Decoy Object
NIST SP 800-53 R5,MA-3(3),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,MA-3(4),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,MA-3(5),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,MA-3(6),narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,MA-4(1),narrower,[Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring),Local Account Monitoring
NIST SP 800-53 R5,MA-6,narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,MA-6(1),narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,MA-6(2),narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,MA-6(3),narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,RA-3(3),broader,[File Analysis](https://d3fend.mitre.org/technique/d3f:FileAnalysis),File Analysis
NIST SP 800-53 R5,RA-3(3),broader,[Identifier Analysis](https://d3fend.mitre.org/technique/d3f:IdentifierAnalysis),Identifier Analysis
NIST SP 800-53 R5,RA-3(3),broader,[Message Analysis](https://d3fend.mitre.org/technique/d3f:MessageAnalysis),Message Analysis
NIST SP 800-53 R5,RA-3(3),broader,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,RA-3(3),broader,[Platform Monitoring](https://d3fend.mitre.org/technique/d3f:PlatformMonitoring),Platform Monitoring
NIST SP 800-53 R5,RA-3(3),broader,[Process Analysis](https://d3fend.mitre.org/technique/d3f:ProcessAnalysis),Process Analysis
NIST SP 800-53 R5,RA-3(3),broader,[User Behavior Analysis](https://d3fend.mitre.org/technique/d3f:UserBehaviorAnalysis),User Behavior Analysis
NIST SP 800-53 R5,RA-3(4),narrower,[File Analysis](https://d3fend.mitre.org/technique/d3f:FileAnalysis),File Analysis
NIST SP 800-53 R5,RA-3(4),narrower,[Identifier Analysis](https://d3fend.mitre.org/technique/d3f:IdentifierAnalysis),Identifier Analysis
NIST SP 800-53 R5,RA-3(4),narrower,[Message Analysis](https://d3fend.mitre.org/technique/d3f:MessageAnalysis),Message Analysis
NIST SP 800-53 R5,RA-3(4),narrower,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,RA-3(4),narrower,[Platform Monitoring](https://d3fend.mitre.org/technique/d3f:PlatformMonitoring),Platform Monitoring
NIST SP 800-53 R5,RA-3(4),narrower,[Process Analysis](https://d3fend.mitre.org/technique/d3f:ProcessAnalysis),Process Analysis
NIST SP 800-53 R5,RA-3(4),narrower,[User Behavior Analysis](https://d3fend.mitre.org/technique/d3f:UserBehaviorAnalysis),User Behavior Analysis
NIST SP 800-53 R5,RA-5,broader,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,RA-5(2),narrower,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,RA-5(3),narrower,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,RA-5(4),related,[Decoy Environment](https://d3fend.mitre.org/technique/d3f:DecoyEnvironment),Decoy Environment
NIST SP 800-53 R5,RA-5(4),related,[Decoy Object](https://d3fend.mitre.org/technique/d3f:DecoyObject),Decoy Object
NIST SP 800-53 R5,RA-5(5),narrower,[Platform Hardening](https://d3fend.mitre.org/technique/d3f:PlatformHardening),Platform Hardening
NIST SP 800-53 R5,RA-5(6),narrower,[Platform Hardening](https://d3fend.mitre.org/technique/d3f:PlatformHardening),Platform Hardening
NIST SP 800-53 R5,RA-5(7),narrower,[Executable Allowlisting](https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting),Executable Allowlisting
NIST SP 800-53 R5,RA-5(7),narrower,[Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting),Executable Denylisting
NIST SP 800-53 R5,SA-8(18),related,[Encrypted Tunnels](https://d3fend.mitre.org/technique/d3f:EncryptedTunnels),Encrypted Tunnels
NIST SP 800-53 R5,SA-8(22),related,[Domain Account Monitoring](https://d3fend.mitre.org/technique/d3f:DomainAccountMonitoring),Domain Account Monitoring
NIST SP 800-53 R5,SA-10(1),related,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SA-10(1),related,[Platform Hardening](https://d3fend.mitre.org/technique/d3f:PlatformHardening),Platform Hardening
NIST SP 800-53 R5,SA-10(3),related,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SA-10(4),related,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SA-10(5),related,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SA-10(5),related,[Platform Hardening](https://d3fend.mitre.org/technique/d3f:PlatformHardening),Platform Hardening
NIST SP 800-53 R5,SA-10(6),related,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SA-10(6),related,[Platform Hardening](https://d3fend.mitre.org/technique/d3f:PlatformHardening),Platform Hardening
NIST SP 800-53 R5,SA-11(1),related,[Application Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationHardening),Application Hardening
NIST SP 800-53 R5,SA-11(8),related,[Application Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationHardening),Application Hardening
NIST SP 800-53 R5,SC-2,broader,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,SC-2,broader,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,SC-2(1),narrower,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,SC-2(1),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,SC-3,broader,[Execution Isolation](https://d3fend.mitre.org/technique/d3f:ExecutionIsolation),Execution Isolation
NIST SP 800-53 R5,SC-3,broader,[Network Isolation](https://d3fend.mitre.org/technique/d3f:NetworkIsolation),Network Isolation
NIST SP 800-53 R5,SC-3(1),narrower,[Execution Isolation](https://d3fend.mitre.org/technique/d3f:ExecutionIsolation),Execution Isolation
NIST SP 800-53 R5,SI-2(4),narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,SI-2(5),exactly,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SI-2(5),exactly,[Peripheral Firmware Verification](https://d3fend.mitre.org/technique/d3f:PeripheralFirmwareVerification),Peripheral Firmware Verification
NIST SP 800-53 R5,SI-2(5),exactly,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,SI-2(5),exactly,[System Firmware Verification](https://d3fend.mitre.org/technique/d3f:SystemFirmwareVerification),System Firmware Verification
NIST SP 800-53 R5,SI-2(6),narrower,[Firmware Verification](https://d3fend.mitre.org/technique/d3f:FirmwareVerification),Firmware Verification
NIST SP 800-53 R5,SI-2(6),narrower,[Peripheral Firmware Verification](https://d3fend.mitre.org/technique/d3f:PeripheralFirmwareVerification),Peripheral Firmware Verification
NIST SP 800-53 R5,SI-2(6),narrower,[Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate),Software Update
NIST SP 800-53 R5,SI-2(6),narrower,[System Firmware Verification](https://d3fend.mitre.org/technique/d3f:SystemFirmwareVerification),System Firmware Verification
NIST SP 800-53 R5,SI-3,broader,[File Analysis](https://d3fend.mitre.org/technique/d3f:FileAnalysis),File Analysis
NIST SP 800-53 R5,SI-3,broader,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,SI-3,broader,[Platform Monitoring](https://d3fend.mitre.org/technique/d3f:PlatformMonitoring),Platform Monitoring
NIST SP 800-53 R5,SI-3,broader,[Process Analysis](https://d3fend.mitre.org/technique/d3f:ProcessAnalysis),Process Analysis
NIST SP 800-53 R5,SI-3(4),narrower,[Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions),Local File Permissions
NIST SP 800-53 R5,SI-3(4),narrower,[System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions),System Configuration Permissions
NIST SP 800-53 R5,SI-3(8),narrower,[User Behavior Analysis](https://d3fend.mitre.org/technique/d3f:UserBehaviorAnalysis),User Behavior Analysis
NIST SP 800-53 R5,SI-3(10),exactly,[Dynamic Analysis](https://d3fend.mitre.org/technique/d3f:DynamicAnalysis),Dynamic Analysis
NIST SP 800-53 R5,SI-4,broader,[Operating System Monitoring](https://d3fend.mitre.org/technique/d3f:OperatingSystemMonitoring),Operating System Monitoring
NIST SP 800-53 R5,SI-4(2),narrower,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
NIST SP 800-53 R5,SI-4(4),narrower,[Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis),Network Traffic Analysis
